lat,long,name
42.45681921,-87.99438567,$0.00
42.45654755,-87.99438799,$0.00
42.45586839,-87.99439381,$0.00
42.45523452,-87.99439924,$0.00
42.45469119,-87.99440389,$0.00
42.45396676,-87.9944101,$0.00
42.45315194,-87.99441708,$0.00
42.34858193,-87.96988098,$0.01
42.3483749,-87.96865136,$0.01
42.34772994,-87.96501325,$0.01
42.34764347,-87.97160389,$0.01
42.34733379,-87.96411962,$0.01
42.34653208,-87.96808513,$0.01
42.34588411,-87.97024075,$0.01
42.3428845,-87.97213797,$0.01
42.34138054,-87.97183636,$0.01
42.34505655,-87.97193462,$305.04
42.34725201,-87.967987,$341.15
42.34581008,-87.96512512,$337.46
42.34688175,-87.96608838,$329.28
42.34924552,-87.97592987,$304.08
42.34541237,-87.96481451,$317.41
42.34599752,-87.96884214,$333.54
42.34657893,-87.97292052,$296.97
42.34760579,-87.97709017,$249.95
42.34663398,-87.97018884,$244.27
42.3451742,-87.97170378,$238.45
42.34540167,-87.96542357,$334.88
42.34349857,-87.96879251,$321.67
42.34864453,-87.97649192,$298.61
42.34353428,-87.97328348,$316.48
42.34636659,-87.96554497,$314.59
42.34762569,-87.9719287,$314.57
42.34242059,-87.96883348,$313.47
42.34552401,-87.96997126,$311.14
42.34472,-87.97032593,$308.61
42.34515799,-87.97068157,$304.91
42.34619283,-87.96963765,$304.71
42.34757356,-87.9708004,$301.42
42.34758516,-87.96995357,$278.22
42.34792878,-87.96682557,$299.13
42.34759406,-87.97365396,$298.24
42.34428695,-87.9694886,$291.13
42.34434207,-87.97228047,$267.89
42.34783075,-87.96751487,$284.80
42.34568276,-87.97316936,$283.53
42.34714603,-87.97010915,$281.24
42.34552281,-87.97101255,$281.24
42.34819701,-87.97422233,$299.46
42.34575658,-87.9705498,$296.32
42.34642679,-87.96613387,$276.40
42.34482471,-87.97239476,$274.74
42.34740873,-87.96881881,$270.28
42.34378802,-87.96949173,$267.56
42.34664133,-87.9649433,$265.11
42.34413549,-87.97310779,$262.82
42.34567114,-87.97215707,$251.45
42.34730199,-87.96825542,$238.26
42.34759598,-87.97420883,$236.00
42.34363023,-87.9722736,$304.24
42.34302944,-87.9699842,$304.40
42.34379215,-87.96998204,$344.10
42.34267848,-87.96880738,$280.81
42.34864346,-87.97255079,$295.95
42.34635226,-87.96481785,$275.36
42.34699412,-87.96663996,$274.55
42.34924465,-87.97565449,$273.74
42.34153869,-87.96884722,$264.39
42.34328854,-87.96949304,$267.28
42.34456851,-87.97401692,$266.42
42.34819798,-87.97283404,$262.98
42.34759309,-87.97337653,$274.60
42.34759116,-87.97282166,$252.74
42.34757339,-87.97052107,$344.25
42.34759502,-87.97393139,$336.55
42.34457182,-87.97340351,$320.07
42.34786897,-87.9661658,$315.06
42.34751485,-87.96935623,$310.09
42.34176486,-87.96976872,$304.86
42.34679631,-87.96546599,$298.78
42.34578847,-87.96411205,$298.17
42.3470528,-87.96884468,$296.98
42.34580615,-87.96480434,$296.86
42.34758923,-87.97226679,$274.08
42.34786004,-87.96779471,$308.15
42.3448345,-87.96753855,$285.12
42.34419939,-87.97083274,$285.04
42.34468982,-87.97159832,$284.20
42.34456205,-87.96948913,$284.01
42.34412878,-87.97281009,$283.71
42.34581309,-87.96571712,$283.01
42.34496956,-87.9698401,$279.09
42.34459181,-87.96877996,$278.90
42.34482275,-87.96641571,$294.85
42.34323209,-87.96879151,$273.58
42.34714866,-87.96744741,$273.38
42.34761852,-87.97679064,$272.50
42.34614413,-87.97225985,$271.89
42.34532358,-87.97284249,$267.88
42.34504161,-87.97090942,$267.84
42.34445676,-87.97205801,$266.63
42.34581594,-87.96631142,$266.02
42.34735544,-87.96852507,$265.55
42.34354354,-87.96998236,$263.35
42.34801307,-87.96873329,$261.69
42.34788696,-87.96808599,$257.17
42.34597635,-87.96964023,$258.11
42.34536398,-87.96408996,$280.20
